Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
National Institute of Technology Raipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),39521,40486
National Institute of Technology Raipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,76568,89046
National Institute of Technology Raipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,SC (PwD),Gender-Neutral,796593,796593
National Institute of Technology Raipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,121439,139353
National Institute of Technology Raipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,ST,Female-only (including Supernumerary),194058,194058
National Institute of Technology Raipur,"Computer Science and Engineering for DASA-CIWG (4 Years, Bachelor of Technology)",DASA-CIWG,OPEN,Gender-Neutral,487824,487824
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,40901,61916
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),66385,66385
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,66848,74609
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Female-only (including Supernumerary),82939,88691
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,188983,193457
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,29101,34101
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),42606,50554
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,34806,37179
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Female-only (including Supernumerary),56268,58000
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,34841,37914
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,123257,124808
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",Other State,SC,Female-only (including Supernumerary),175690,178736
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,168853,168853
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",Other State,ST,Female-only (including Supernumerary),253810,253810
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,27460,49584
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),60320,62939
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,55517,56446
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Female-only (including Supernumerary),72746,76512
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,164618,164618
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,SC,Female-only (including Supernumerary),146366,146366
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,ST,Gender-Neutral,148413,148413
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,21956,26693
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),29754,34210
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,OPEN (PwD),Gender-Neutral,543848,543848
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,26881,27575
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Female-only (including Supernumerary),37373,37373
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,EWS (PwD),Gender-Neutral,691083,691083
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,26961,28833
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL (PwD),Gender-Neutral,620163,620163
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,96772,96772
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,SC,Female-only (including Supernumerary),154189,154189
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,124270,124270
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,26239,38011
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),37732,37732
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,44582,44748
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Female-only (including Supernumerary),66575,66575
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,128820,128820
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,19065,22548
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),28633,31122
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",Other State,OPEN (PwD),Gender-Neutral,383839,383839
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,22686,23259
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",Other State,EWS,Female-only (including Supernumerary),34078,34078
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,23223,24970
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,88267,91553
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",Other State,SC,Female-only (including Supernumerary),119786,119786
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,57328,74250
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),88605,104345
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,98083,98083
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,75134,84771
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Female-only (including Supernumerary),110578,127471
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,250588,280601
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Home State,SC,Female-only (including Supernumerary),236118,236118
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,35669,41835
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),54471,59699
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,OPEN (PwD),Gender-Neutral,719073,719073
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,42749,43315
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Female-only (including Supernumerary),65106,65106
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,43229,50369
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),66287,74585
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,136240,145123
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,SC,Female-only (including Supernumerary),202732,202732
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,146134,146134
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,ST (PwD),Gender-Neutral,738732,738732
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,94970,103688
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),126179,161951
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,135794,144851
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Home State,EWS,Female-only (including Supernumerary),166425,166425
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,109291,133021
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Female-only (including Supernumerary),183802,194895
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,307996,307996
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Home State,SC,Female-only (including Supernumerary),340285,340285
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Home State,ST,Gender-Neutral,301371,338638
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,53161,63219
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),79943,88178
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,63293,64906
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Female-only (including Supernumerary),92885,92885
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,63344,70650
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),89056,94694
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,166704,181802
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Other State,SC,Female-only (including Supernumerary),210315,210315
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,229690,229690
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Other State,ST,Female-only (including Supernumerary),249324,249324
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,104872,118254
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),182319,182319
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,157749,157749
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Home State,EWS,Female-only (including Supernumerary),218864,218864
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,134346,141113
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Female-only (including Supernumerary),195542,203797
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,315483,335943
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Home State,SC,Female-only (including Supernumerary),350587,402928
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,61657,69355
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),90290,97678
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,71518,71979
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Female-only (including Supernumerary),98519,98519
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,69662,73273
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),99157,103415
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,165263,184091
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Other State,SC,Female-only (including Supernumerary),228749,228749
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,227790,229563
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",Other State,ST,Female-only (including Supernumerary),316846,316846
National Institute of Technology Sikkim,"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,114764,133797
National Institute of Technology Sikkim,"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,401205,401205
National Institute of Technology Sikkim,"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",Home State,ST,Gender-Neutral,390468,390468
National Institute of Technology Sikkim,"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,32920,42335
National Institute of Technology Sikkim,"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,44818,48617
National Institute of Technology Sikkim,"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),73795,73795
National Institute of Technology Sikkim,"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,134016,134016
National Institute of Technology Sikkim,"Artificial Intelligence and Machine Learning for DASA-CIWG (4 Years, Bachelor of Technology)",DASA-CIWG,OPEN,Gender-Neutral,855147,855147
National Institute of Technology Sikkim,"Civil Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,135324,135324
National Institute of Technology Sikkim,"Civil Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,337917,337917
National Institute of Technology Sikkim,"Civil Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,72419,75951
National Institute of Technology Sikkim,"Civil Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),107517,107517
National Institute of Technology Sikkim,"Civil Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,77098,80410
National Institute of Technology Sikkim,"Civil Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),114343,114343
National Institute of Technology Sikkim,"Civil Engineering (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,172733,180168
National Institute of Technology Sikkim,"Civil Engineering (4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,244327,244327
National Institute of Technology Sikkim,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,388916,388916
National Institute of Technology Sikkim,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Home State,SC,Female-only (including Supernumerary),768283,768283
National Institute of Technology Sikkim,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,12105,37014
National Institute of Technology Sikkim,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),51140,52220
National Institute of Technology Sikkim,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,40641,42519
National Institute of Technology Sikkim,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),71257,71257
National Institute of Technology Sikkim,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,122110,122110
National Institute of Technology Sikkim,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,179670,179670
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,205995,214457
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,304479,304479
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Home State,ST,Gender-Neutral,527813,527813
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,49787,53620
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),78688,78688
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,58913,61074
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),94080,94080
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL (PwD),Gender-Neutral,785467,785467
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,143909,143909
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Other State,SC,Female-only (including Supernumerary),228230,228230
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,237604,237604
National Institute of Technology Sikkim,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,80322,176618
National Institute of Technology Sikkim,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,38651,41495
National Institute of Technology Sikkim,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),58513,58513
National Institute of Technology Sikkim,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,42779,46242
National Institute of Technology Sikkim,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),88333,88333
National Institute of Technology Sikkim,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,142910,142910
National Institute of Technology Sikkim,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,SC,Female-only (including Supernumerary),227901,227901
National Institute of Technology Sikkim,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,220563,220563
National Institute of Technology Sikkim,"Mechanical Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,233915,233915
National Institute of Technology Sikkim,"Mechanical Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Female-only (including Supernumerary),628451,628451
National Institute of Technology Sikkim,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,53142,62354
National Institute of Technology Sikkim,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),92156,92665
National Institute of Technology Sikkim,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,68776,71158
National Institute of Technology Sikkim,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),97954,97954
National Institute of Technology Sikkim,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,167382,175508
National Institute of Technology Arunachal Pradesh,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",All India,SC,Gender-Neutral,217672,217672
National Institute of Technology Arunachal Pradesh,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",All India,ST,Gender-Neutral,294950,326165
National Institute of Technology Arunachal Pradesh,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,547761,547761
National Institute of Technology Arunachal Pradesh,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",Home State,ST,Female-only (including Supernumerary),1.11456e+006,1.11456e+006
National Institute of Technology Arunachal Pradesh,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,84797,88376
National Institute of Technology Arunachal Pradesh,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),111986,113601
National Institute of Technology Arunachal Pradesh,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,91017,91017
National Institute of Technology Arunachal Pradesh,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,95484,96152
National Institute of Technology Arunachal Pradesh,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),133119,133119
National Institute of Technology Arunachal Pradesh,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,224290,224290
National Institute of Technology Arunachal Pradesh,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,328668,328668
National Institute of Technology Arunachal Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,237782,274521
National Institute of Technology Arunachal Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",Home State,ST,Gender-Neutral,368798,464619
National Institute of Technology Arunachal Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",Home State,ST,Female-only (including Supernumerary),293938,432873
National Institute of Technology Arunachal Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,78138,83554
National Institute of Technology Arunachal Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),98559,115751
National Institute of Technology Arunachal Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,83704,88654
National Institute of Technology Arunachal Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,84060,87158
National Institute of Technology Arunachal Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),116090,124623
National Institute of Technology Arunachal Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,183363,198367
National Institute of Technology Arunachal Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,ST,Gender-Neutral,185684,227229
National Institute of Technology Arunachal Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,ST,Female-only (including Supernumerary),291367,312230
National Institute of Technology Arunachal Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Home State,ST,Gender-Neutral,352060,894783
National Institute of Technology Arunachal Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,37248,47445
National Institute of Technology Arunachal Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),69895,72846
National Institute of Technology Arunachal Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,48011,50092
National Institute of Technology Arunachal Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,50176,54434
National Institute of Technology Arunachal Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),81195,81197
National Institute of Technology Arunachal Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,137624,145848
National Institute of Technology Arunachal Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,233251,233478
National Institute of Technology Arunachal Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",Home State,ST,Gender-Neutral,545262,775906
National Institute of Technology Arunachal Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",Home State,ST,Female-only (including Supernumerary),677489,718625
National Institute of Technology Arunachal Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,50148,69329
National Institute of Technology Arunachal Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),97854,98008
National Institute of Technology Arunachal Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,74962,75167
National Institute of Technology Arunachal Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,70319,71514
National Institute of Technology Arunachal Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),103602,103602
National Institute of Technology Arunachal Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,180943,180943
National Institute of Technology Arunachal Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",Other State,SC,Female-only (including Supernumerary),251487,251487
National Institute of Technology Arunachal Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,241413,259620
National Institute of Technology Arunachal Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",All India,ST,Gender-Neutral,206998,263502
National Institute of Technology Arunachal Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",All India,ST,Female-only (including Supernumerary),339456,363929
National Institute of Technology Arunachal Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,ST,Gender-Neutral,959736,1.31888e+006
National Institute of Technology Arunachal Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,46654,57636
National Institute of Technology Arunachal Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),80726,93151
National Institute of Technology Arunachal Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,62668,65056
National Institute of Technology Arunachal Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,58465,63946
National Institute of Technology Arunachal Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),95061,95061
